Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
Ab10-I-Jal_het.5.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
Ab10-I-MMR_het.1.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
Ab10-I-MMR_het.2.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
Ab10-I-MMR_het.3.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
Ab10-I-MMR_het.4.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
Ab10-I-MMR_het.5.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
FFMM_Ab10-I_hom.1.DC2,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
FFMM_Ab10-I_hom.2.DC2,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
FFMM_Ab10-I_hom.3.DC2,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.1.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.10.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.11.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.12.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.13.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.14.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.15.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.16.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.17.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.18.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.19.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.2.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.20.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.21.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.22.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.23.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.24.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.25.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.26.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.27.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.28.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.29.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.3.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.30.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.31.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.32.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.33.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.34.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.35.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.36.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.37.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.4.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.5.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.6.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.7.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.8.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-II.9.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-MMR_het.1.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-MMR_het.2.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-MMR_het.3.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-MMR_het.4.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-MMR_het.5.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Sal_het.1.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Sal_het.2.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Sal_het.3.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Sal_het.4.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Sal_het.5.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Tel_het.1.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Tel_het.2.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Tel_het.3.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Tel_het.4.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-II-Tel_het.5.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA
Ab10-III-Cag_het.1.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA
Ab10-III-Cag_het.2.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA
