"","Variable","Beta","p","CDH"
"PC1","PC1",19.4938966128278,1.21938816668195e-05,"Ab10"
"PC8","PC8",-38.4977594973513,2.67179740219414e-11,"Ab10"
"PC9","PC9",-21.2443519948704,0.000382713633574119,"Ab10"
"sq1_simpBad","sq1_simpBad",1.51990363273495,0.00948353763153094,"Ab10"
