"","Variable","Beta","p","CDH"
"PC1","PC1",48.7156195682524,4.37510736176324e-22,"BChr"
"PC2","PC2",-34.5462458371221,5.53672095804348e-21,"BChr"
"PC5","PC5",57.0039219482271,4.21464944778641e-19,"BChr"
"PC8","PC8",18.0675700269386,0.000152461301653341,"BChr"
"PC9","PC9",15.9983612399023,9.63791933723095e-06,"BChr"
"PC10","PC10",27.6887573667663,1.21144083229204e-14,"BChr"
"srad","srad",0.000223949402484022,0.000421246726646435,"BChr"
"S3_211286197","S3_211286197",1.0411110846751,1.02747490565707e-21,"BChr"
"S4_248470517","S4_248470517",0.468904750464912,6.5401060487542e-08,"BChr"
