"Model","Ab10","BChrom","K10L2","Maize"
"Current_Full",13817247.2433136,12052112.2989748,3076942.84269977,14894061.5539098
"Current_SSP",10049606.024431,8473364.24488616,2665002.42504215,15771353.7190593
"SSP126",6185129.74459362,11844074.259923,2791478.45824528,16623456.1202847
"SSP245",7142201.25800109,11735651.3928331,2968393.83438492,16496213.9643675
"SSP370",4422790.00595033,10937557.0844522,2199387.48448634,18206675.6172305
"SSP585",7337285.18300331,14360517.2296383,1902461.34706378,17036192.3264683
