,x
1,4.76171472243003
2,1.84335354673896
3,1.5503121803435
4,0.857813501896285
5,0.549690876236978
6,0.480712997269471
7,0.389054117160601
8,0.344119893597959
9,0.303770517689858
10,0.272042182663695
11,0.233644730037264
12,0.213873581398702
13,0.20401815614074
14,0.191138931467008
15,0.17086808598149
16,0.161245870078
17,0.152593829812749
18,0.141546407795113
19,0.139299050388385
20,0.125974321493722
21,0.123333323677271
22,0.117430598277962
23,0.114642587629107
24,0.104141599333648
25,0.103146731352684
26,0.101306877673698
27,0.0992846159643671
28,0.0972482993888969
29,0.0952464824896885
30,0.0936343367316289
31,0.0914963136293439
32,0.0902746700429791
33,0.0883371107666936
34,0.0865092660513497
35,0.0844188022355008
36,0.0816667262908478
37,0.0806011705237962
38,0.0793384307136521
39,0.078088645800094
40,0.076422715642042
41,0.075428143716355
42,0.0748276781753771
43,0.073674688332145
44,0.0730938567117144
45,0.072485598068167
46,0.0716174528227856
47,0.0711850434376291
48,0.0706806806568282
49,0.0700574209700691
50,0.0693006756175638
51,0.0683496402015948
52,0.0674171202453559
53,0.067179809221515
54,0.0669844303760754
55,0.0662224994331137
56,0.065779930788851
57,0.0652061994248732
58,0.0648168440428247
59,0.0645463819688972
60,0.0640556681903034
61,0.0639109800488596
62,0.0630099600931996
63,0.0623874109948233
64,0.0620412765432785
65,0.0616519396094629
66,0.0615983068734673
67,0.0612408677952772
68,0.0609062887801738
69,0.0603308160918442
70,0.0602128004306966
71,0.0601581087966196
72,0.0595953783186097
73,0.0593088839937107
74,0.0587351577048842
75,0.0585337655981864
76,0.0582408420586764
77,0.0581512407494867
78,0.0580090380898658
79,0.0579118661914974
80,0.0578516055042127
81,0.0573804975183672
82,0.0570839368836144
83,0.0569707164709867
84,0.0567834104390779
85,0.0565954213672634
86,0.056296691226817
87,0.0560522830922297
88,0.0559984965242955
89,0.055937953455853
90,0.0557471059979643
91,0.0556341733154173
92,0.0555677649369783
93,0.0553179670956723
94,0.0551946337162703
95,0.0551173604238029
96,0.0548815037481857
97,0.0548324407768799
98,0.0546455663717089
99,0.0545820498525736
100,0.0544799673405209
101,0.0544394698893284
102,0.0542802237098774
103,0.0542592969066301
104,0.0540087038512538
105,0.0539017431991161
106,0.0538441167863524
107,0.0536189326535138
108,0.0535430438544716
109,0.053381310186373
110,0.0532740577545142
111,0.0531713663753698
112,0.0530062418899473
113,0.0529569973310527
114,0.0528988953071314
115,0.052748990652587
116,0.0526802552354086
117,0.0525365874803603
118,0.0525036798597257
119,0.0524508386160473
120,0.0523310267082632
121,0.0522963535182439
122,0.052136675978726
123,0.0521173324453763
124,0.0520310289300004
125,0.0519920428458714
126,0.0518886238483166
127,0.0518739730450618
128,0.0517923271252171
129,0.0517476243294184
130,0.0516527197839033
131,0.0515926797948803
132,0.0514692159314573
133,0.0514283030472478
134,0.0513223765311239
135,0.0512896988076894
136,0.0511824757345056
137,0.0510738557188752
138,0.0510189146079447
139,0.0509764586534961
140,0.0508385415031436
141,0.0507244115106571
142,0.0507108231637459
143,0.0505421820007062
144,0.0504924620232529
145,0.0504109089684524
146,0.0503649897698326
147,0.0503234607182594
148,0.0503027950822185
149,0.0502132288413016
150,0.0501457408932476
151,0.0501056615087712
152,0.050000698794523
153,0.0499455559284962
154,0.0499124067908938
155,0.0498915733209384
156,0.0498268038708914
157,0.0496981354698477
158,0.0496736328739242
159,0.049599126408107
160,0.0495656813923686
161,0.0495453505940341
162,0.0494391124543633
163,0.0493638276884884
164,0.0492887990521098
165,0.0492506555337749
166,0.049194728353678
167,0.0491786068449083
168,0.0490655002912853
169,0.0490159577775037
170,0.0489746348185362
171,0.0489377228124011
172,0.0488231196357168
173,0.0487927849514947
174,0.0487546704352498
175,0.0486911510283456
176,0.0486491257044421
177,0.0486156519276264
178,0.048605715618718
179,0.048498962863598
180,0.0484352954975609
181,0.0483650521129583
182,0.0482942957481055
183,0.0482627989122368
184,0.0482170107368395
185,0.0481581925744106
186,0.0480949321173754
187,0.048046339688171
188,0.0479893293955392
189,0.0479407550682331
190,0.0479319119708323
191,0.047855528497031
192,0.0477946290324412
193,0.0477555145823558
194,0.0477021674174996
195,0.0476657733444477
196,0.0476408799731728
197,0.0475690822889391
198,0.0474991364523529
199,0.0474496102930499
200,0.0474148551990312
201,0.0473708580800349
202,0.0472921300040251
203,0.0472036815649241
204,0.0471940793108063
205,0.0471784686542446
206,0.0470964484107742
207,0.0470720782203637
208,0.0470297060281123
209,0.0469761184512905
210,0.0469538270263988
211,0.0469127437112146
212,0.0468259502134738
213,0.0468208853452087
214,0.046782336950508
215,0.0467404222117849
216,0.0466656343150457
217,0.0466411019518937
218,0.0465909159689318
219,0.0465903519767986
220,0.0464937428494905
221,0.0464278267132562
222,0.0463854699247601
223,0.0463332901538329
224,0.0463186872166019
225,0.0462792697063396
226,0.0462124534784314
227,0.0461751043215016
228,0.0461028999957538
229,0.0460857903978946
230,0.0460502105562999
231,0.0460390420139095
232,0.0459520473590666
233,0.045928882756274
234,0.0458666907334733
235,0.0458499150478288
236,0.0458127157042467
237,0.0457821209671121
238,0.0457150628456104
239,0.0456710929967989
240,0.0456268162637339
241,0.0456184212500729
242,0.0455233817015913
243,0.0454978210435676
244,0.045475576207244
245,0.0454440657200093
246,0.0454197771506055
247,0.0454008850205203
248,0.0453094775033584
249,0.0452605126734556
250,0.0452173257088175
251,0.0451892200439096
252,0.0451764583739119
253,0.0451279777144071
254,0.045104039575095
255,0.045079340210642
256,0.045017673800355
257,0.0450023538443742
258,0.044956017198519
259,0.0449452336734254
260,0.0449031301036014
261,0.0448961965715274
262,0.044822647338394
263,0.04478694331096
264,0.0447585113370607
265,0.0447402664275172
266,0.0447133331549415
267,0.0446782370128456
268,0.0446480863722401
269,0.0445910654848503
270,0.044557942004195
271,0.0445024369509671
272,0.044458119486166
273,0.0444397573632302
274,0.0443681655216992
275,0.0443355337598075
276,0.0442614051704459
277,0.0442430787858637
278,0.044235204098317
279,0.0441992953374063
280,0.044161742732918
281,0.0441210177122726
282,0.0440674627161736
283,0.0440455421497592
284,0.0439905583885383
285,0.0439450760678871
286,0.0439415351307089
287,0.0439118157918592
288,0.0438755952650798
289,0.043797340478295
290,0.0437781615832335
291,0.0437500465492551
292,0.0436977775842074
293,0.0436587403328191
294,0.0436279732731135
295,0.0435688535765937
296,0.0435314922154908
297,0.0435223698393397
298,0.04344893864359
