Name,Conf_ID
SEEDGWAS1827.RN,Ambiguous
SEEDGWAS183.RN,Ambiguous
SEEDGWAS187.RN,Ambiguous
SEEDGWAS195.RN,Ambiguous
SEEDGWAS1976.RN,Ambiguous
SEEDGWAS198.RN,Ambiguous
SEEDGWAS1993.RN,Ambiguous
SEEDGWAS1996.RN,Ambiguous
SEEDGWAS2022.RN,Ambiguous
SEEDGWAS2044.RN,Ambiguous
SEEDGWAS2048.RN,Ambiguous
SEEDGWAS2058.RN,Ambiguous
SEEDGWAS2068.RN,Ambiguous
SEEDGWAS2082.RN,Ambiguous
SEEDGWAS2131.RN,Ambiguous
SEEDGWAS2141.RN,Ambiguous
SEEDGWAS2159.RN,Ambiguous
SEEDGWAS2165.RN,Ambiguous
SEEDGWAS2214.RN,Ambiguous
SEEDGWAS222.RN,Ambiguous
SEEDGWAS2220.RN,Ambiguous
SEEDGWAS2225.RN,Ambiguous
SEEDGWAS2233.RN,Ambiguous
SEEDGWAS2250.RN,Ambiguous
SEEDGWAS2261.RN,Ambiguous
SEEDGWAS2276.RN,Ambiguous
SEEDGWAS2287.RN,Ambiguous
SEEDGWAS2293.RN,Ambiguous
SEEDGWAS2310.RN,Ambiguous
SEEDGWAS2361.RN,Ambiguous
SEEDGWAS2370.RN,Ambiguous
SEEDGWAS238.RN,Ambiguous
SEEDGWAS2402.RN,Ambiguous
SEEDGWAS2426.RN,Ambiguous
SEEDGWAS2459.RN,Ambiguous
SEEDGWAS2478.RN,Ambiguous
SEEDGWAS2479.RN,Ambiguous
SEEDGWAS2486.RN,Ambiguous
SEEDGWAS2520.RN,Ambiguous
SEEDGWAS2523.RN,Ambiguous
SEEDGWAS2557.RN,Ambiguous
SEEDGWAS257.RN,Ambiguous
SEEDGWAS2572.RN,Ambiguous
SEEDGWAS2579.RN,Ambiguous
SEEDGWAS2643.RN,Ambiguous
SEEDGWAS2649.RN,Ambiguous
SEEDGWAS2652.RN,Ambiguous
SEEDGWAS2667.RN,Ambiguous
SEEDGWAS2682.RN,Ambiguous
SEEDGWAS2700.RN,Ambiguous
SEEDGWAS2715.RN,Ambiguous
SEEDGWAS2720.RN,Ambiguous
SEEDGWAS2723.RN,Ambiguous
SEEDGWAS2731.RN,Ambiguous
SEEDGWAS2744.RN,Ambiguous
SEEDGWAS2746.RN,Ambiguous
SEEDGWAS2748.RN,Ambiguous
SEEDGWAS2772.RN,Ambiguous
SEEDGWAS2776.RN,Ambiguous
SEEDGWAS2779.RN,Ambiguous
SEEDGWAS2806.RN,Ambiguous
SEEDGWAS2812.RN,Ambiguous
SEEDGWAS2814.RN,Ambiguous
SEEDGWAS2815.RN,Ambiguous
SEEDGWAS2823.RN,Ambiguous
SEEDGWAS2832.RN,Ambiguous
SEEDGWAS2868.RN,Ambiguous
SEEDGWAS2893.RN,Ambiguous
SEEDGWAS291.RN,Ambiguous
SEEDGWAS2910.RN,Ambiguous
SEEDGWAS2913.RN,Ambiguous
SEEDGWAS292.RN,Ambiguous
SEEDGWAS2937.RN,Ambiguous
SEEDGWAS2944.RN,Ambiguous
SEEDGWAS2949.RN,Ambiguous
SEEDGWAS2961.RN,Ambiguous
SEEDGWAS2970.RN,Ambiguous
SEEDGWAS306.RN,Ambiguous
SEEDGWAS3068.RN,Ambiguous
SEEDGWAS3078.RN,Ambiguous
SEEDGWAS3089.RN,Ambiguous
SEEDGWAS3096.RN,Ambiguous
SEEDGWAS3111.RN,Ambiguous
SEEDGWAS3114.RN,Ambiguous
SEEDGWAS3123.RN,Ambiguous
SEEDGWAS3126.RN,Ambiguous
SEEDGWAS313.RN,Ambiguous
SEEDGWAS3205.RN,Ambiguous
SEEDGWAS3225.RN,Ambiguous
SEEDGWAS3294.RN,Ambiguous
SEEDGWAS3331.RN,Ambiguous
SEEDGWAS3381.RN,Ambiguous
SEEDGWAS3447.RN,Ambiguous
SEEDGWAS3536.RN,Ambiguous
SEEDGWAS3605.RN,Ambiguous
SEEDGWAS3628.RN,Ambiguous
SEEDGWAS3641.RN,Ambiguous
SEEDGWAS3652.RN,Ambiguous
SEEDGWAS3668.RN,Ambiguous
SEEDGWAS3670.RN,Ambiguous
SEEDGWAS3701.RN,Ambiguous
SEEDGWAS3717.RN,Ambiguous
SEEDGWAS3733.RN,Ambiguous
SEEDGWAS3757.RN,Ambiguous
SEEDGWAS3780.RN,Ambiguous
SEEDGWAS3787.RN,Ambiguous
SEEDGWAS3801.RN,Ambiguous
SEEDGWAS383.RN,Ambiguous
SEEDGWAS3841.RN,Ambiguous
SEEDGWAS3874.RN,Ambiguous
SEEDGWAS388.RN,Ambiguous
SEEDGWAS3886.RN,Ambiguous
SEEDGWAS389.RN,Ambiguous
SEEDGWAS3915.RN,Ambiguous
SEEDGWAS394.RN,Ambiguous
SEEDGWAS3962.RN,Ambiguous
SEEDGWAS3986.RN,Ambiguous
SEEDGWAS3995.RN,Ambiguous
SEEDGWAS4029.RN,Ambiguous
SEEDGWAS4045.RN,Ambiguous
SEEDGWAS415.RN,Ambiguous
SEEDGWAS4154.RN,Ambiguous
SEEDGWAS4194.RN,Ambiguous
SEEDGWAS4215.RN,Ambiguous
SEEDGWAS4224.RN,Ambiguous
SEEDGWAS4231.RN,Ambiguous
SEEDGWAS427.RN,Ambiguous
SEEDGWAS4296.RN,Ambiguous
SEEDGWAS4300.RN,Ambiguous
SEEDGWAS4307.RN,Ambiguous
SEEDGWAS4312.RN,Ambiguous
SEEDGWAS4319.RN,Ambiguous
SEEDGWAS4325.RN,Ambiguous
SEEDGWAS433.RN,Ambiguous
SEEDGWAS4333.RN,Ambiguous
SEEDGWAS4354.RN,Ambiguous
SEEDGWAS4355.RN,Ambiguous
SEEDGWAS4377.RN,Ambiguous
SEEDGWAS4391.RN,Ambiguous
SEEDGWAS4402.RN,Ambiguous
SEEDGWAS4420.RN,Ambiguous
SEEDGWAS4443.RN,Ambiguous
SEEDGWAS4445.RN,Ambiguous
SEEDGWAS4446.RN,Ambiguous
SEEDGWAS4447.RN,Ambiguous
SEEDGWAS4461.RN,Ambiguous
SEEDGWAS4469.RN,Ambiguous
SEEDGWAS4472.RN,Ambiguous
SEEDGWAS4473.RN,Ambiguous
SEEDGWAS449.RN,Ambiguous
SEEDGWAS4502.RN,Ambiguous
SEEDGWAS4508.RN,Ambiguous
SEEDGWAS4514.RN,Ambiguous
SEEDGWAS4529.RN,Ambiguous
SEEDGWAS4548.RN,Ambiguous
SEEDGWAS4567.RN,Ambiguous
SEEDGWAS4579.RN,Ambiguous
SEEDGWAS4580.RN,Ambiguous
SEEDGWAS4594.RN,Ambiguous
SEEDGWAS4599.RN,Ambiguous
SEEDGWAS4617.RN,Ambiguous
SEEDGWAS4639.RN,Ambiguous
SEEDGWAS4646.RN,Ambiguous
SEEDGWAS4664.RN,Ambiguous
SEEDGWAS4665.RN,Ambiguous
SEEDGWAS467.RN,Ambiguous
SEEDGWAS4675.RN,Ambiguous
SEEDGWAS4684.RN,Ambiguous
SEEDGWAS475.RN,Ambiguous
SEEDGWAS4754.RN,Ambiguous
SEEDGWAS4767.RN,Ambiguous
SEEDGWAS4795.RN,Ambiguous
SEEDGWAS4811.RN,Ambiguous
SEEDGWAS4815.RN,Ambiguous
SEEDGWAS4821.RN,Ambiguous
SEEDGWAS4823.RN,Ambiguous
SEEDGWAS4835.RN,Ambiguous
SEEDGWAS4857.RN,Ambiguous
SEEDGWAS4859.RN,Ambiguous
SEEDGWAS487.RN,Ambiguous
SEEDGWAS4876.RN,Ambiguous
SEEDGWAS4882.RN,Ambiguous
SEEDGWAS4914.RN,Ambiguous
SEEDGWAS4924.RN,Ambiguous
SEEDGWAS4931.RN,Ambiguous
SEEDGWAS4942.RN,Ambiguous
SEEDGWAS4967.RN,Ambiguous
SEEDGWAS4992.RN,Ambiguous
SEEDGWAS4998.RN,Ambiguous
SEEDGWAS4999.RN,Ambiguous
SEEDGWAS5006.RN,Ambiguous
SEEDGWAS5009.RN,Ambiguous
SEEDGWAS5037.RN,Ambiguous
SEEDGWAS5056.RN,Ambiguous
SEEDGWAS5081.RN,Ambiguous
SEEDGWAS5087.RN,Ambiguous
SEEDGWAS5095.RN,Ambiguous
SEEDGWAS5100.RN,Ambiguous
SEEDGWAS5101.RN,Ambiguous
SEEDGWAS5143.RN,Ambiguous
SEEDGWAS5154.RN,Ambiguous
SEEDGWAS5196.RN,Ambiguous
SEEDGWAS521.RN,Ambiguous
SEEDGWAS5232.RN,Ambiguous
SEEDGWAS5235.RN,Ambiguous
SEEDGWAS5252.RN,Ambiguous
SEEDGWAS5266.RN,Ambiguous
SEEDGWAS5274.RN,Ambiguous
SEEDGWAS5276.RN,Ambiguous
SEEDGWAS5310.RN,Ambiguous
SEEDGWAS5324.RN,Ambiguous
SEEDGWAS5365.RN,Ambiguous
SEEDGWAS5367.RN,Ambiguous
SEEDGWAS572.RN,Ambiguous
SEEDGWAS612.RN,Ambiguous
SEEDGWAS620.RN,Ambiguous
SEEDGWAS662.RN,Ambiguous
SEEDGWAS714.RN,Ambiguous
SEEDGWAS715.RN,Ambiguous
SEEDGWAS733.RN,Ambiguous
SEEDGWAS768.RN,Ambiguous
SEEDGWAS793.RN,Ambiguous
SEEDGWAS801.RN,Ambiguous
SEEDGWAS826.RN,Ambiguous
SEEDGWAS858.RN,Ambiguous
SEEDGWAS897.RN,Ambiguous
SEEDGWAS903.RN,Ambiguous
SEEDGWAS915.RN,Ambiguous
SEEDGWAS948.RN,Ambiguous
SEEDGWAS963.RN,Ambiguous
SEEDGWAS999.RN,Ambiguous
