ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
SEEDGWAS4467,SEEDGWAS4467,6007196,6023160,0.997349564016231,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007614,NA,Landrace,Unknown,Unknown,19.33333333,-98.48333333,2355,NA,NA,NA,NA
SEEDGWAS4479,SEEDGWAS4479,6007765,6023160,0.997444032700443,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007717,NA,Landrace,Unknown,Unknown,18.96666667,-98.28333333,2094,NA,NA,NA,NA
SEEDGWAS4487,SEEDGWAS4487,6007413,6023160,0.997385591616361,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007930,NA,Landrace,Unknown,Unknown,30.38333333,-107.9333333,1462,NA,NA,NA,NA
SEEDGWAS4493,SEEDGWAS4493,6008010,6023160,0.997484709023171,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007980,NA,Landrace,Unknown,Unknown,23.972408,-104.682259,1889,NA,NA,NA,NA
SEEDGWAS456,SEEDGWAS456,6005700,6023160,0.997101189408882,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017636,NA,Landrace,Unknown,Unknown,19.86666667,-97.58333333,1837,NA,NA,NA,NA
SEEDGWAS4691,SEEDGWAS4691,6022767,6023160,0.999934751857829,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017153,NA,Landrace,Unknown,Unknown,20.6,-102.2166667,2066,NA,NA,NA,NA
SEEDGWAS4793,SEEDGWAS4793,4517364,4517370,0.999998671793544,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-020644,NA,Landrace,Unknown,Unknown,24.88333333,-103.6666667,1562,NA,NA,NA,NA
SEEDGWAS4982,SEEDGWAS4982,6016274,6023160,0.998856746292644,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006042,NA,Landrace,Unknown,Unknown,17.190837,-97.867153,2338,NA,NA,NA,NA
SEEDGWAS4995,SEEDGWAS4995,6007771,6023160,0.997445028855285,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007578,NA,Landrace,Unknown,Unknown,18.98333333,-98.16666667,2122,NA,NA,NA,NA
SEEDGWAS4996,SEEDGWAS4996,6008792,6023160,0.997614541204285,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007580,NA,Landrace,Unknown,Unknown,18.98333333,-98.16666667,2122,NA,NA,NA,NA
