Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
SEEDGWAS4150.RN,SEEDGWAS4150.RN,6023120,6023160,0.999993358967718,1.RN,SEEDGWAS4150.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-012158,NA,Landrace,Unknown,Unknown,-21.408665,-64.275681,1730,NA,NA,NA,NA
SEEDGWAS4155.RN,SEEDGWAS4155.RN,6023138,6023160,0.999996347432245,1.RN,SEEDGWAS4155.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-014109,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS4156.RN,SEEDGWAS4156.RN,6007681,6023160,0.997430086532651,1.RN,SEEDGWAS4156.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-014262,NA,Landrace,Unknown,Unknown,20.38333333,-102.95,1546,NA,NA,NA,NA
SEEDGWAS4158.RN,SEEDGWAS4158.RN,6023035,6023160,0.999979246774119,1.RN,SEEDGWAS4158.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015530,NA,Landrace,Unknown,Unknown,23.08333333,-109.7166667,83,NA,NA,NA,NA
SEEDGWAS4166.RN,SEEDGWAS4166.RN,6023136,6023160,0.999996015380631,1.RN,SEEDGWAS4166.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016712,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS4167.RN,SEEDGWAS4167.RN,6023135,6023160,0.999995849354824,1.RN,SEEDGWAS4167.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016116,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS4464.RN,SEEDGWAS4464.RN,6012245,6023160,0.998187828316033,1.RN,SEEDGWAS4464.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007582,NA,Landrace,Unknown,Unknown,19.268596,-98.523863,2438,NA,NA,NA,NA
SEEDGWAS4467.RN,SEEDGWAS4467.RN,6007249,6023160,0.997358363384004,1.RN,SEEDGWAS4467.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007614,NA,Landrace,Unknown,Unknown,19.33333333,-98.48333333,2355,NA,NA,NA,NA
SEEDGWAS4479.RN,SEEDGWAS4479.RN,6008038,6023160,0.997489357745768,1.RN,SEEDGWAS4479.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007717,NA,Landrace,Unknown,Unknown,18.96666667,-98.28333333,2094,NA,NA,NA,NA
SEEDGWAS4487.RN,SEEDGWAS4487.RN,6007649,6023160,0.997424773706825,1.RN,SEEDGWAS4487.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007930,NA,Landrace,Unknown,Unknown,30.38333333,-107.9333333,1462,NA,NA,NA,NA
SEEDGWAS4493.RN,SEEDGWAS4493.RN,6007837,6023160,0.997455986558551,1.RN,SEEDGWAS4493.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007980,NA,Landrace,Unknown,Unknown,23.972408,-104.682259,1889,NA,NA,NA,NA
SEEDGWAS456.RN,SEEDGWAS456.RN,6005693,6023160,0.997100027228232,1.RN,SEEDGWAS456.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017636,NA,Landrace,Unknown,Unknown,19.86666667,-97.58333333,1837,NA,NA,NA,NA
SEEDGWAS4691.RN,SEEDGWAS4691.RN,6022762,6023160,0.999933921728793,1.RN,SEEDGWAS4691.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017153,NA,Landrace,Unknown,Unknown,20.6,-102.2166667,2066,NA,NA,NA,NA
SEEDGWAS4793.RN,SEEDGWAS4793.RN,4517362,4517370,0.999998229058058,1.RN,SEEDGWAS4793.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-020644,NA,Landrace,Unknown,Unknown,24.88333333,-103.6666667,1562,NA,NA,NA,NA
SEEDGWAS4982.RN,SEEDGWAS4982.RN,6016179,6023160,0.998840973840974,1.RN,SEEDGWAS4982.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006042,NA,Landrace,Unknown,Unknown,17.190837,-97.867153,2338,NA,NA,NA,NA
SEEDGWAS4995.RN,SEEDGWAS4995.RN,6007659,6023160,0.997426433964895,1.RN,SEEDGWAS4995.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007578,NA,Landrace,Unknown,Unknown,18.98333333,-98.16666667,2122,NA,NA,NA,NA
SEEDGWAS4996.RN,SEEDGWAS4996.RN,6009166,6023160,0.997676634856122,1.RN,SEEDGWAS4996.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007580,NA,Landrace,Unknown,Unknown,18.98333333,-98.16666667,2122,NA,NA,NA,NA
SEEDGWAS5000.RN,SEEDGWAS5000.RN,6005014,6023160,0.996987295705244,1.RN,SEEDGWAS5000.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007608,NA,Landrace,Unknown,Unknown,19.04153,-98.287568,2140,NA,NA,NA,NA
SEEDGWAS5003.RN,SEEDGWAS5003.RN,6004996,6023160,0.996984307240718,1.RN,SEEDGWAS5003.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007713,NA,Landrace,Unknown,Unknown,19.81666667,-97.78333333,1924,NA,NA,NA,NA
SEEDGWAS5007.RN,SEEDGWAS5007.RN,6012792,6023160,0.998278644432491,1.RN,SEEDGWAS5007.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007737,NA,Landrace,Unknown,Unknown,18.9,-97.96666667,2189,NA,NA,NA,NA
SEEDGWAS5010.RN,SEEDGWAS5010.RN,6013876,6023160,0.998458616407334,1.RN,SEEDGWAS5010.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007759,NA,Landrace,Unknown,Unknown,19.2,-101.7,1839,NA,NA,NA,NA
SEEDGWAS5012.RN,SEEDGWAS5012.RN,6004944,6023160,0.996975673898751,1.RN,SEEDGWAS5012.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008088,NA,Landrace,Unknown,Unknown,19.9,-102.1666667,1704,NA,NA,NA,NA
