ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,12S007801.SW,1456303,1505790,0.96713552354578,NA,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S008101.SW,1429082,1505790,0.94905796957079,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S008401.SW,1443860,1505790,0.958872087077215,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S008701.SW,1428126,1505790,0.948423086884625,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S008801.SW,1431773,1505790,0.950845071357892,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S009501.SW,1434725,1505790,0.952805504087555,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S009801.SW,1426656,1505790,0.947446855139163,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S009901.SW,1412440,1505790,0.938005963646989,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S010201.SW,1435025,1505790,0.953004735056017,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S010401.SW,1427174,1505790,0.947790860611373,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S011001.SW,1425347,1505790,0.946577544013441,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S011401.SW,1411681,1505790,0.937501909296781,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S011601.SW,1425138,1505790,0.946438746438746,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S011701.SW,1421330,1505790,0.943909841345739,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S012401.SW,1457760,1505790,0.968103121949276,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S012501.SW,1419027,1505790,0.942380411611181,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S012601.SW,1439393,1505790,0.95590553795682,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S012801.SW,1421998,1505790,0.94435346230218,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S012901.SW,1426966,1505790,0.947652727139907,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S013001.SW,1428214,1505790,0.948481527968707,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S013401.SW,1419181,1505790,0.942482683508325,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S013801.SW,1413765,1505790,0.938885900424362,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S013901.SW,1425484,1505790,0.946668526155706,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014001.SW,1416179,1505790,0.940489045617251,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014101.SW,1430078,1505790,0.949719416386083,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014301.SW,1413739,1505790,0.938868633740429,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014701.SW,1442664,1505790,0.958077819616281,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S014801.SW,1444793,1505790,0.959491695389131,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S015401.SW,1445908,1505790,0.960232170488581,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S015501.SW,1408894,1505790,0.935651053599772,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S016001.SW,1424998,1505790,0.946345771986798,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S016201.SW,1432338,1505790,0.951220289681828,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S016301.SW,1428791,1505790,0.948864715531382,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S016601.SW,1478052,1505790,0.981579104656028,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S017001.SW,1468514,1505790,0.975244888065401,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S017301.SW,1409005,1505790,0.935724769058102,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S017601.SW,1417912,1505790,0.941639936511731,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018001.SW,1425273,1505790,0.946528400374554,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018201.SW,1420459,1505790,0.943331407433972,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018401.SW,1454886,1505790,0.966194489271412,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018701.SW,1405338,1505790,0.933289502520272,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S019401.SW,1429784,1505790,0.949524170036991,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S019601.SW,1419204,1505790,0.942497957882573,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S019801.SW,1410495,1505790,0.936714282868129,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S020001.SW,1418691,1505790,0.942157272926504,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S020401.SW,1436358,1505790,0.953889984659215,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S020601.SW,1426368,1505790,0.94725559340944,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S020801.SW,1448578,1505790,0.96200532610789,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S020901.SW,1416097,1505790,0.940434589152538,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S021301.SW,1452140,1505790,0.964370861806759,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S022001.SW,1409131,1505790,0.935808446064856,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S022301.SW,1419098,1505790,0.942427562940383,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S022401.SW,1428921,1505790,0.948951048951049,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S022501.SW,1421468,1505790,0.944001487591231,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S022701.SW,1412401,1505790,0.937980063621089,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S023401.SW,1421557,1505790,0.944060592778541,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S024301.SW,1439136,1505790,0.955734863427171,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024401.SW,1456415,1505790,0.967209903107339,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024601.SW,1424638,1505790,0.946106694824643,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024801.SW,1429828,1505790,0.949553390579032,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
