"","Variable","Beta","p","CDH"
"vapr","vapr",-1.85087196748132,9.85250107816142e-15,"K10L2"
"sq3_simpOK","sq3_simpOK",0.490365854422714,0.00888378155021466,"K10L2"
"sq3_simpBad","sq3_simpBad",0.0283690098861735,0.898327532958133,"K10L2"
"sq4_simpBad","sq4_simpBad",0.744537331958607,0.000796725956756085,"K10L2"
"bio_10","bio_10",0.133294976971028,0.000158443036289948,"K10L2"
"PC2","PC2",95.1530108032618,2.53985695578679e-16,"K10L2"
"PC3","PC3",-29.7377449586836,0.00404941747185958,"K10L2"
"PC10","PC10",-29.6717677064564,2.89888957433483e-06,"K10L2"
