"Model","Ab10","BChrom","K10L2","Maize"
"Current_Full",226854.541460514,178400.036249876,158664.358783722,NA
"Current_SSP",561209.083886266,417648.089713693,365156.057803273,NA
"SSP126",435516.835188627,306360.398731351,385094.529763937,NA
"SSP245",381150.285837889,319617.989610076,367920.962447882,NA
"SSP370",432481.004960179,450637.819187045,378611.741872311,NA
"SSP585",375320.283765316,550070.057648778,354029.35846138,NA
