"Model","Ab10","BChrom","K10L2","Maize"
"Current_Full",393.191339015961,48461.8238346577,48311.3683125973,NA
"Current_SSP",2921.98875188828,34083.7814922333,3970.09783196449,NA
"SSP126",10680.1142776012,184997.691498399,6988.02531671524,NA
"SSP245",2747.13707876205,68994.0714788437,8542.03309583664,NA
"SSP370",7178.56567287445,21584.9710628986,4639.12487220764,NA
"SSP585",2629.29493451118,27320.2971191406,3234.62479519844,NA
