"Model","Ab10","BChrom","K10L2","Maize"
"Current_Full",11523227.5209679,30726835.525993,14615476.4125676,NA
"Current_SSP",NA,57901990.618256,NA,NA
"SSP126",21858949.3742791,55971485.3386161,9821855.27806711,NA
"SSP245",17244570.4763353,53566894.1802822,12032756.8620629,NA
"SSP370",20853364.8470466,64750937.579922,14329983.9453002,NA
"SSP585",19643937.2064914,59778019.3702403,9956726.08075154,NA
