"","Variable","Beta","p","CDH"
"vapr","vapr",0.0950496535655028,0.00872787937274637,"BChr Copy Numer"
"bio_10","bio_10",-0.0107805011723996,0.00406281648990586,"BChr Copy Numer"
"bio_4","bio_4",0.000345582034263322,4.19498776791306e-06,"BChr Copy Numer"
"PC4","PC4",2.60164491357233,0.00108620892214871,"BChr Copy Numer"
