"Model","Ab10","BChrom","K10L2","Maize"
"Current_Full",NA,51294870.474371,22127659.1782705,NA
"Current_SSP",NA,NA,19747879.4360909,NA
"SSP126",NA,45169143.3346816,25548082.8180456,NA
"SSP245",NA,53239275.2879748,29219907.5863819,NA
"SSP370",NA,51179617.1618067,30622780.4220392,NA
"SSP585",NA,49254242.8820007,15849552.6702976,NA
