Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,12S007701.SW,1436100,1505790,0.953718646026338,NA,NA,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S007801.SW,1456340,1505790,0.967160095365224,NA,NA,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S008101.SW,1429001,1505790,0.949004177209305,NA,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S008401.SW,1443651,1505790,0.95873328950252,NA,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S008701.SW,1427949,1505790,0.948305540613233,NA,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S008801.SW,1431650,1505790,0.950763386660823,NA,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S009501.SW,1434244,1505790,0.952486070434788,NA,NA,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA
NA,12S009801.SW,1426691,1505790,0.94747009875215,NA,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S009901.SW,1412313,1505790,0.937921622537007,NA,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S010201.SW,1434753,1505790,0.952824098977945,NA,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S010401.SW,1426557,1505790,0.947381108919571,NA,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S011001.SW,1424900,1505790,0.946280689870433,NA,NA,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA
NA,12S011401.SW,1411506,1505790,0.937385691231845,NA,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S011601.SW,1424826,1505790,0.946231546231546,NA,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S011701.SW,1421635,1505790,0.944112392830342,NA,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S012401.SW,1457534,1505790,0.967953034619701,NA,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S012501.SW,1419087,1505790,0.942420257804873,NA,NA,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.006053,-107.316732,1728,NA,NA,NA,NA
NA,12S012601.SW,1439172,1505790,0.955758771143386,NA,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S012801.SW,1422499,1505790,0.944686178019511,NA,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S012901.SW,1426534,1505790,0.947365834545322,NA,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S013001.SW,1427690,1505790,0.948133537877128,NA,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S013401.SW,1419123,1505790,0.942444165521089,NA,NA,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S013801.SW,1414235,1505790,0.939198028941619,NA,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S013901.SW,1424835,1505790,0.9462375231606,NA,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014001.SW,1415764,1505790,0.940213442777545,NA,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014101.SW,1429819,1505790,0.949547413649978,NA,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014301.SW,1413399,1505790,0.938642838642839,NA,NA,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA
NA,12S014701.SW,1443086,1505790,0.958358071178584,NA,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S014801.SW,1444667,1505790,0.959408018382377,NA,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S015401.SW,1445948,1505790,0.960258734617709,NA,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S015501.SW,1408472,1505790,0.935370802037469,NA,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S016001.SW,1424705,1505790,0.946151189740933,NA,NA,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.746069,-105.922108,2060,NA,NA,NA,NA
NA,12S016201.SW,1431348,1505790,0.950562827485904,NA,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S016301.SW,1428639,1505790,0.948763771840695,NA,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S016601.SW,1478024,1505790,0.981560509765638,NA,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S017001.SW,1468268,1505790,0.975081518671262,NA,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S017301.SW,1408777,1505790,0.935573353522071,NA,NA,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA
NA,12S017601.SW,1418098,1505790,0.941763459712178,NA,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018001.SW,1425389,1505790,0.946605436349026,NA,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018201.SW,1420497,1505790,0.943356643356643,NA,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018401.SW,1454827,1505790,0.966155307180948,NA,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S018701.SW,1405639,1505790,0.933489397591962,NA,NA,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA
NA,12S019401.SW,1429984,1505790,0.949656990682632,NA,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S019601.SW,1419124,1505790,0.942444829624317,NA,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S019801.SW,1410495,1505790,0.936714282868129,NA,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S020001.SW,1419246,1505790,0.942525850218158,NA,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S020401.SW,1436120,1505790,0.953731928090902,NA,NA,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA
NA,12S020601.SW,1426145,1505790,0.94710749838955,NA,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S020801.SW,1448797,1505790,0.962150764714867,NA,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S020901.SW,1415353,1505790,0.939940496350753,NA,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S021301.SW,1451931,1505790,0.964232064232064,NA,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S022001.SW,1409035,1505790,0.935744692154949,NA,NA,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA
NA,12S022301.SW,1419524,1505790,0.942710470915599,NA,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S022401.SW,1428309,1505790,0.948544617775387,NA,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S022501.SW,1421331,1505790,0.943910505448967,NA,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S022701.SW,1412312,1505790,0.937920958433779,NA,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S023401.SW,1421575,1505790,0.944072546636649,NA,NA,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA
NA,12S024301.SW,1439353,1505790,0.955878973827692,NA,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024401.SW,1455811,1505790,0.966808784757503,NA,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024601.SW,1424630,1505790,0.946101381998818,NA,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024801.SW,1429716,1505790,0.949479011017473,NA,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S024901.SW,1426911,1505790,0.947616201462355,NA,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S025401.SW,1409314,1505790,0.935929976955618,NA,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025501.SW,1402246,1505790,0.931236095338659,NA,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025601.SW,1423278,1505790,0.945203514434284,NA,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025701.SW,1412541,1505790,0.938073038073038,NA,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025901.SW,1429383,1505790,0.94925786464248,NA,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S026301.SW,1424481,1505790,0.946002430617815,NA,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S026401.SW,1439813,1505790,0.956184461312666,NA,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S026701.SW,1422682,1505790,0.944807708910273,NA,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S027001.SW,1445262,1505790,0.95980315980316,NA,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S027201.SW,1436783,1505790,0.954172228531203,NA,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
