Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,CDH
Ab10-III-Cag_het.5.DC2,0.0217303649871358,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Gva_het.1.DC2,0.0217158172044799,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Gva_het.2.DC2,0.0224427225985605,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Gva_het.3.DC2,0.0209599838383058,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Gva_het.4.DC2,0.0217177640932278,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Gva_het.5.DC2,0.0230948926334171,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Hui_het.1.DC2,0.0192661160255406,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Hui_het.2.DC2,0.0201976734218494,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Hui_het.3.DC2,0.0196122302507396,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Hui_het.4.DC2,0.0179326465076738,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Hui_het.5.DC2,0.0208450110860813,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Oax_het.1.DC2,0.0201263582558751,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Oax_het.2.DC2,0.0215807328771178,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Oax_het.3.DC2,0.0201330687234151,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Oax_het.4.DC2,0.0205428734226243,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
Ab10-III-Oax_het.5.DC2,0.021002992032138,1,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289_B-Chrom.1.DC2,0.00612258450858882,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289_B-Chrom.2.DC2,0.00693390276655705,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289_B-Chrom.3.DC2,0.00664076781287591,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289_B-Chrom.4.DC2,0.00661740600342098,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289.1.DC2,0.00604779897501631,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289.2.DC2,0.00672961596441801,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
B542C_L289.3.DC2,0.00655985058814566,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
FFMM_Ab10-I_hom.1.DC2,0.0460993715704837,2,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
FFMM_Ab10-I_hom.2.DC2,0.0411536865724213,2,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
FFMM_Ab10-I_hom.3.DC2,0.0420126337544436,2,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
FFMM_B-Chrom.1.DC2,0.00664821013752951,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
FFMM_B-Chrom.2.DC2,0.00673592807825708,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
FFMM_B-Chrom.3.DC2,0.0065917990716555,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab10
