Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
SEEDGWAS3472.RN,0.032146797,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006457,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3473.RN,0.062279178,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006459,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3477.RN,0.037011677,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006467,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3489.RN,0.025077458,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006612,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3490.RN,0.027358305,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006633,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3495.RN,0.025902207,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006936,NA,Landrace,Unknown,Unknown,22.394537,-103.7373,1358,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3496.RN,0.063830714,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006957,NA,Landrace,Unknown,Unknown,21.386317,-104.129818,1281,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3497.RN,0.062280654,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007115,NA,Landrace,Unknown,Unknown,21.696608,-104.088629,1181,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,Experimental,BChr
SEEDGWAS350.RN,0.076478081,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007802,NA,Landrace,Unknown,Unknown,-22.612407,-47.210516,600,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3503.RN,0.022399612,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009192,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3526.RN,0.026929014,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009648,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3562.RN,0.037350871,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010141,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3571.RN,0.040453863,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010812,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3572.RN,0.053992038,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010739,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3575.RN,0.057585634,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010743,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3579.RN,0.035757269,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010747,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3586.RN,0.030822298,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010858,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3591.RN,0.030129252,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010767,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3609.RN,0.033770731,Romero-Navarro_etal_2017,CIMMYTMA-BANK-013512,NA,Landrace,Unknown,Unknown,-30,-67.5,1420,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3618.RN,0.023626762,Romero-Navarro_etal_2017,CIMMYTMA-BANK-014208,NA,Landrace,Unknown,Unknown,17.649322,-99.532281,1058,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3625.RN,0.028503596,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015669,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3639.RN,0.030673646,Romero-Navarro_etal_2017,CIMMYTMA-BANK-019202,NA,Landrace,Unknown,Unknown,21.213333,-101.924964,1868,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3640.RN,0.04352012,Romero-Navarro_etal_2017,CIMMYTMA-BANK-019325,NA,Landrace,Unknown,Unknown,18.610168,-99.371959,990,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3641.RN,0.028932079,Romero-Navarro_etal_2017,CIMMYTMA-BANK-020618,NA,Landrace,Unknown,Unknown,24.50251,-104.760042,1946,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,Low,Experimental,BChr
SEEDGWAS3686.RN,0.028206389,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001385,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3699.RN,0.046972067,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006819,NA,Landrace,Unknown,Unknown,26.83333333,-107.0666667,2411,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3701.RN,0.056924308,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006851,NA,Landrace,Unknown,Unknown,26.03333333,-106.95,2586,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,Experimental,BChr
SEEDGWAS3702.RN,0.047179714,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006852,NA,Landrace,Unknown,Unknown,26.03333333,-106.95,2586,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3704.RN,0.028384127,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006856,NA,Landrace,Unknown,Unknown,26.03333333,-106.95,2586,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3708.RN,0.053347021,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006991,NA,Landrace,Unknown,Unknown,22.3,-103.55,2190,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,Experimental,BChr
SEEDGWAS3709.RN,0.027980133,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007009,NA,Landrace,Unknown,Unknown,23.63333333,-102.9833333,2126,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3716.RN,0.121713498,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007976,NA,Landrace,Unknown,Unknown,24.892673,-106.384789,1174,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3720.RN,0.06071068,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008448,NA,Landrace,Unknown,Unknown,20.13333333,-98.75,2449,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3721.RN,0.037827828,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008482,NA,Landrace,Unknown,Unknown,19.71666667,-98.73333333,2371,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3726.RN,0.084430355,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009003,NA,Landrace,Unknown,Unknown,-17.1,-71.76666667,62,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3729.RN,0.035621691,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009193,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3736.RN,0.040298072,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011801,NA,Landrace,Unknown,Unknown,19.479844,-97.500186,2331,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,Experimental,BChr
SEEDGWAS3751.RN,0.029432408,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015743,NA,Landrace,Unknown,Unknown,20.53333333,-102.3333333,1602,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3756.RN,0.083033247,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022810,NA,Landrace,Unknown,Unknown,29.375447,-107.74083,2162,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3762.RN,0.055305434,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017260,NA,Landrace,Unknown,Unknown,19.583333,-97.6,2418,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3780.RN,0.032180973,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022867,NA,Landrace,Unknown,Unknown,24.516667,-104.716667,1936,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,Low,Experimental,BChr
SEEDGWAS3782.RN,0.063143844,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022902,NA,Landrace,Unknown,Unknown,21.435587,-102.549726,1780,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3786.RN,0.062607407,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022176,NA,Landrace,Unknown,Unknown,29.35,-107.7,2180,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3793.RN,0.032812627,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000043,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3795.RN,0.038663889,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000109,NA,Landrace,Unknown,Unknown,17.96666667,-97.01666667,650,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3798.RN,0.068243489,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000167,NA,Landrace,Unknown,Unknown,20.119105,-102.268729,1579,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3800.RN,0.071558458,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000371,NA,Landrace,Unknown,Unknown,28.975149,-109.395459,454,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3801.RN,0.053839753,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000373,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,Experimental,BChr
SEEDGWAS3803.RN,0.083463489,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000375,NA,Landrace,Unknown,Unknown,29.799589,-109.69121,633,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3805.RN,0.039741056,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000421,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3810.RN,0.028899287,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000452,NA,Landrace,Unknown,Unknown,28.3461111,-100.7757778,349,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3813.RN,0.035085985,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000636,NA,Landrace,Unknown,Unknown,29.43544,-110.367266,390,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3821.RN,0.050824467,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001939,NA,Landrace,Unknown,Unknown,27.911915,-101.501568,446,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3827.RN,0.04954681,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002261,NA,Landrace,Unknown,Unknown,25.573728,-100.063425,385,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3832.RN,0.040934827,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002544,NA,Landrace,Unknown,Unknown,24.408973,-99.460659,348,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3872.RN,0.094409578,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005716,NA,Landrace,Unknown,Unknown,28.5,-100.9333333,362,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3880.RN,0.044841555,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006109,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3885.RN,0.042075385,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007037,NA,Landrace,Unknown,Unknown,21.376419,-104.819531,966,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3886.RN,0.038054207,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007038,NA,Landrace,Unknown,Unknown,21.376419,-104.819531,966,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,Low,Experimental,BChr
