"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"34","12S007801.SW","Swarts_etal_2017","PI_213714:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"35","12S008101.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"36","12S008401.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"37","12S008701.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"38","12S008801.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"39","12S009501.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"40","12S009801.SW","Swarts_etal_2017","PI_218131:Cochiti","US - Puebloan (East)","Landrace","Unknown","Unknown",35.608,-106.347,1606,NA,NA,NA,NA,"Ab10","Ambiguous"
"41","12S009901.SW","Swarts_etal_2017","PI_218131:Cochiti","US - Puebloan (East)","Landrace","Unknown","Unknown",35.608,-106.347,1606,NA,NA,NA,NA,"N10",NA
"42","12S010201.SW","Swarts_etal_2017","PI_218131:Cochiti","US - Puebloan (East)","Landrace","Unknown","Unknown",35.608,-106.347,1606,NA,NA,NA,NA,"N10",NA
"43","12S010401.SW","Swarts_etal_2017","PI_218131:Cochiti","US - Puebloan (East)","Landrace","Unknown","Unknown",35.608,-106.347,1606,NA,NA,NA,NA,"N10",NA
"44","12S011001.SW","Swarts_etal_2017","PI_218131:Cochiti","US - Puebloan (East)","Landrace","Unknown","Unknown",35.608,-106.347,1606,NA,NA,NA,NA,"N10",NA
"45","12S011401.SW","Swarts_etal_2017","PI_218133:New_Mexico_Mesita","US - Puebloan (East)","Landrace","Unknown","Unknown",35.006053,-107.316732,1728,NA,NA,NA,NA,"N10",NA
"46","12S011601.SW","Swarts_etal_2017","PI_218133:New_Mexico_Mesita","US - Puebloan (East)","Landrace","Unknown","Unknown",35.006053,-107.316732,1728,NA,NA,NA,NA,"N10",NA
"47","12S011701.SW","Swarts_etal_2017","PI_218133:New_Mexico_Mesita","US - Puebloan (East)","Landrace","Unknown","Unknown",35.006053,-107.316732,1728,NA,NA,NA,NA,"N10",NA
"48","12S012401.SW","Swarts_etal_2017","PI_218133:New_Mexico_Mesita","US - Puebloan (East)","Landrace","Unknown","Unknown",35.006053,-107.316732,1728,NA,NA,NA,NA,"N10",NA
"49","12S012501.SW","Swarts_etal_2017","PI_218133:New_Mexico_Mesita","US - Puebloan (East)","Landrace","Unknown","Unknown",35.006053,-107.316732,1728,NA,NA,NA,NA,"N10",NA
"50","12S012601.SW","Swarts_etal_2017","PI_218134:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
