Name,Prop,Model,KMeans_BChrom
SEEDGWAS1767.RN,0.976,High,Yes
SEEDGWAS1768.RN,0.992,High,Yes
SEEDGWAS1769.RN,0.96,High,Yes
SEEDGWAS1776.RN,1,High,Yes
SEEDGWAS1796.RN,1,High,Yes
SEEDGWAS1800.RN,1,High,Yes
SEEDGWAS1814.RN,1,High,Yes
SEEDGWAS1833.RN,1,High,Yes
SEEDGWAS2043.RN,1,High,Yes
SEEDGWAS2093.RN,1,High,Yes
SEEDGWAS2176.RN,1,High,Yes
SEEDGWAS2182.RN,1,High,Yes
SEEDGWAS2193.RN,1,High,Yes
SEEDGWAS2254.RN,1,High,Yes
SEEDGWAS2282.RN,0.96,High,Yes
SEEDGWAS2290.RN,1,High,Yes
SEEDGWAS2327.RN,1,High,Yes
SEEDGWAS2343.RN,1,High,Yes
SEEDGWAS2366.RN,0.912,High,Yes
SEEDGWAS2373.RN,1,High,Yes
SEEDGWAS2416.RN,0.96,High,Yes
SEEDGWAS2450.RN,1,High,Yes
SEEDGWAS2462.RN,1,High,Yes
SEEDGWAS2493.RN,1,High,Yes
SEEDGWAS2508.RN,1,High,Yes
SEEDGWAS2581.RN,1,High,Yes
SEEDGWAS2585.RN,1,High,Yes
SEEDGWAS2587.RN,1,High,Yes
SEEDGWAS2601.RN,0.976,High,Yes
SEEDGWAS2608.RN,1,High,Yes
SEEDGWAS2634.RN,1,High,Yes
SEEDGWAS2640.RN,1,High,Yes
SEEDGWAS2654.RN,1,High,Yes
SEEDGWAS2661.RN,1,High,Yes
SEEDGWAS2666.RN,1,High,Yes
SEEDGWAS2678.RN,1,High,Yes
SEEDGWAS2684.RN,1,High,Yes
SEEDGWAS2700.RN,1,High,Yes
SEEDGWAS2709.RN,1,High,Yes
SEEDGWAS2710.RN,1,High,Yes
SEEDGWAS2712.RN,1,High,Yes
SEEDGWAS2743.RN,0.968,High,Yes
SEEDGWAS2749.RN,1,High,Yes
SEEDGWAS2765.RN,1,High,Yes
SEEDGWAS2790.RN,0.976,High,Yes
SEEDGWAS2791.RN,1,High,Yes
SEEDGWAS283.RN,1,High,Yes
SEEDGWAS2838.RN,1,High,Yes
SEEDGWAS2923.RN,0.96,High,Yes
SEEDGWAS2926.RN,1,High,Yes
SEEDGWAS2940.RN,1,High,Yes
SEEDGWAS2953.RN,0.968,High,Yes
SEEDGWAS2962.RN,1,High,Yes
SEEDGWAS2970.RN,1,High,Yes
SEEDGWAS2971.RN,1,High,Yes
SEEDGWAS2993.RN,1,High,Yes
SEEDGWAS3.RN,0.968,High,Yes
SEEDGWAS3108.RN,0.96,High,Yes
SEEDGWAS3113.RN,1,High,Yes
SEEDGWAS3128.RN,0.928,High,Yes
SEEDGWAS3194.RN,1,High,Yes
SEEDGWAS3226.RN,1,High,Yes
