Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,CDH
SEEDGWAS3696.RN,0.0282875644999057,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006053,NA,Landrace,Unknown,Unknown,17.76666667,-96.78333333,1860,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3705.RN,0.0219388340667207,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006887,NA,Landrace,Unknown,Unknown,25.33333333,-105.7333333,1816,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3706.RN,0.0304013872084961,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006927,NA,Landrace,Unknown,Unknown,23.972408,-104.682259,1889,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3708.RN,0.0275988107763332,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006991,NA,Landrace,Unknown,Unknown,22.3,-103.55,2190,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS3714.RN,0.0304470520460983,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007667,NA,Landrace,Unknown,Unknown,19.15,-98.4,2283,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3736.RN,0.0490417147299213,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011801,NA,Landrace,Unknown,Unknown,19.479844,-97.500186,2331,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS3769.RN,0.0320476014134169,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-018699,NA,Landrace,Unknown,Unknown,21.410256,-101.89888,1884,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3771.RN,0.0306340249308021,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-018828,NA,Landrace,Unknown,Unknown,21.410256,-101.89888,1884,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3778.RN,0.0446180180383812,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-020684,NA,Landrace,Unknown,Unknown,21.410256,-101.89888,1884,NA,NA,NA,NA,N10,NA,K10L2,Ambiguous,High,K10L2
SEEDGWAS3783.RN,0.0240999155194885,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022849,NA,Landrace,Unknown,Unknown,19.321451,-98.255482,2230,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS381.RN,0.041770329052737,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009887,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3816.RN,0.0315155676399521,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000672,NA,Landrace,Unknown,Unknown,28.41666667,-100.7833333,329,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3910.RN,0.0257193515047291,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007177,NA,Landrace,Unknown,Unknown,25.408895,-107.562256,259,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3919.RN,0.0271087041445837,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007236,NA,Landrace,Unknown,Unknown,24.617159,-106.394078,445,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3926.RN,0.0303369009063437,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007256,NA,Landrace,Unknown,Unknown,30.55,-111.1166667,685,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3933.RN,0.0269468732404388,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007275,NA,Landrace,Unknown,Unknown,28.26666667,-109.3,423,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS395.RN,0.0487595839547054,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009976,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3960.RN,0.0317474589552923,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007964,NA,Landrace,Unknown,Unknown,28.16666667,-108.5333333,769,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
